"","x"
"1825",317916
"1826",301058
"1827",153771
"1828",323237
"1829",298366
"1830",326053
"1831",116069
"1832",288631
"1833",165127
"1834",110134
"1835",171070
"1836",159918
"1837",142912
"1838",108163
"1839",117875
"1840",283776
"1841",107952
"1842",226519
"1843",19396
"1844",318615
"1845",300572
"1846",175009
"1847",171919
"1848",108211
"1849",309234
"1850",120870
"1851",305277
"1852",123907
"1853",127207
"1854",322091
"1855",165450
"1856",284784
"1857",158720
"1858",120131
"1859",327327
"1860",6210
"1861",163421
"1862",170591
"1863",110819
"1864",173070
"1865",149559
"1866",282537
"1867",175294
"1868",110783
"1869",122959
"1870",301911
"1871",316294
"1872",106234
"1873",171592
"1874",309933
"1875",287848
"1876",112493
"1877",145363
"1878",165140
"1879",321642
"1880",286316
"1881",147200
"1882",156150
"1883",141943
"1884",297491
"1885",323759
"1886",309653
"1887",317152
"1888",107068
"1889",165168
"1890",174670
"1891",135373
"1892",111936
"1893",141422
"1894",142820
"1895",152069
"1896",111824
"1897",136274
"1898",281478
"1899",144287
"1900",291902
"1901",150488
"1902",292832
"1903",168203
"1904",313265
"1905",157976
"1906",122309
"1907",284286
"1908",173220
"1909",153993
"1910",288762
"1911",282600
"1912",121202
"1913",286562
"1914",226721
"1915",133873
"1916",166173
"1917",315440
"1918",147165
"1919",168733
"1920",159347
"1921",325161
"1922",316747
"1923",132346
"1924",149343
"1925",288211
"1926",289971
"1927",150661
"1928",321132
"1929",301381
"1930",277044
"1931",281558
"1932",109683
"1933",312921
"1934",118048
"1935",134398
"1936",299210
"1937",317711
"1938",310451
"1939",134884
"1940",139775
"1941",326517
"1942",139521
"1943",119416
"1944",289977
"1945",309319
"1946",144720
"1947",106189
"1948",156605
"1949",318626
"1950",134086
"1951",304792
"1952",169222
"1953",171279
"1954",290111
"1955",137068
"1956",328421
"1957",46214
"1958",115562
"1959",151879
"1960",118070
"1961",104645
"1962",312004
"1963",106998
"1964",144046
"1965",110257
"1966",45348
"1967",174809
"1968",157772
"1969",121344
"1970",130174
"1971",153534
"1972",114148
"1973",290276
"1974",105778
"1975",325781
"1976",283942
"1977",285104
"1978",313354
"1979",315803
"1980",113020
"1981",14155
"1982",153741
"1983",286618
"1984",298142
"1985",132669
"1986",220515
"1987",17140
"1988",317909
"1989",118260
"1990",158965
"1991",147500
"1992",304146
"1993",289258
"1994",147346
"1995",141407
"1996",110117
"1997",316437
"1998",110767
"1999",162560
"2000",130132
"2001",175092
"2002",134104
"2003",296437
"2004",312573
"2005",164571
"2006",316475
"2007",297596
"2008",108257
"2009",310355
"2010",105807
"2011",291155
"2012",153323
"2013",163016
"2014",309514
"2015",152482
"2016",158263
"2017",323060
"2018",112442
"2019",114702
"2020",283403
"2021",127787
"2022",110966
"2023",286283
"2024",132580
"2025",172173
"2026",307343
"2027",160648
"2028",315566
"2029",133959
"2030",325604
"2031",292690
"2032",157775
"2033",109716
"2034",322130
